"country","continent","landarea","agrpercent","spared","continentid","overflow"
"Syria","Asia",18363,75.8,24.2,"asia",1
"Turkmenistan","Asia",46993,72,-6.8,"asia",0
"Taiwan","Asia",3541,22.5,0,"asia",0
"Tanzania","Africa",88580,44.8,55.2,"africa",1
"Thailand","Asia",51089,43.3,4.5,"asia",0
"Togo","Africa",5439,70.2,29.8,"africa",1
"Tokelau","Oceania",1,60,0,"oceania",0
"Tonga","Oceania",72,45.8,0,"oceania",0
"Trinidad and Tobago","North America",513,10.5,89.5,"north-america",1
"Oman","Asia",30950,4.7,0,"asia",0
"Tunisia","Africa",15536,64.8,35.2,"africa",1
"Turkey","Asia",76963,50.1,19.3,"asia",0
"Turks and Caicos Islands","North America",95,1.1,0,"north-america",0
"United Arab Emirates","Asia",8360,4.6,41,"asia",0
"Uganda","Africa",20052,71.9,28.1,"africa",1
"Tuvalu","Oceania",3,60,0,"oceania",0
"United Kingdom","Europe",24193,70.8,14.3,"europe",0
"Ukraine","Europe",57928.6,71.3,16.8,"europe",0
"United States of America","North America",914742,44.4,-8.8,"north-america",0
"Burkina Faso","Africa",27360,44.2,55.8,"africa",1
"Uruguay","South America",17502,82.6,7.7,"south-america",0
"Uzbekistan","Asia",42540,62.9,31.9,"asia",0
"Venezuela","South America",88205,24.5,10.3,"south-america",0
"Viet Nam","Asia",31007,37.8,38.2,"asia",0
"Ethiopia","Africa",1e+05,36.3,45.3,"africa",0
"British Virgin Islands","North America",15,46.7,0,"north-america",0
"United States Virgin Islands","North America",35,11.4,0,"north-america",0
"Wallis and Futuna Islands","Oceania",14,42.9,0,"oceania",0
"Samoa","Oceania",283,12.4,-12.1,"oceania",0
"Yemen","Asia",52797,44.6,55.4,"asia",1
"DR Congo","Africa",226705,11.6,0,"africa",0
"Zambia","Africa",74339,32.1,67.9,"africa",1
"Belgium","Europe",3028,43.9,56.1,"europe",1
"Luxembourg","Europe",259,50.7,-17,"europe",0
"Anguilla","North America",9,0,0,"north-america",0
"Channel Islands","Europe",19,48.4,0,"europe",0
"Isle of Man","Europe",57,70.9,0,"europe",0
"Mayotte","Africa",37.4,32.5,0,"africa",0
"Serbia","Europe",8746,39.7,12.3,"europe",0
"Montenegro","Europe",1345,17.2,82.8,"europe",1
"Sudan","Africa",0,0,0,"africa",0
"South Sudan","Africa",0,0,0,"africa",0
"Occupied Palestinian Territory","Asia",602,49.5,50.5,"asia",1
"China","Asia",942470.14,56.1,0.5,"asia",0
